"","User.ID","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9"
"1",10124,0.2083333,0.1875,0.1875,0.25,0.15625,0.1875,0.2142857,0.1875,0.25
"2",105282,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"3",111439,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"4",235560,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"5",73309,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"6",219611,0.1917808,0.1265398,0.1666667,0.2222222,0.1975309,0.2226891,0.1879699,0.2142857,0.1707317
"7",239849,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"8",277197,0.3432836,0.3461538,0.2077922,0.2941176,0.2432432,0.2586207,0.2234043,0.2272727,0.2272727
"9",67601,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"10",89980,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"11",240852,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"12",187425,0.2333333,0.2909091,0.2205882,0.2380952,0.2882353,0.2086957,0.2346154,0.275,0.25
"13",22665,0.1666667,1,0.1875,1,1,1,0.125,1,1
"14",14049,0.5531915,0.3793103,0.3765281,0.4385965,0.4111675,0.4652778,0.3562992,0.6818182,0.5840708
"15",221457,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"16",22684,0.8,0.6666667,0.4666667,0.8,0.6,0.6,0.7333333,0.6,0.6
"17",1809,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"18",48339,0.1827957,0.2608696,0.2564103,0.1111111,0.22,0.3571429,0.195122,1,0.25
"19",211269,0.1964286,0.2083333,0.1590909,0.125,0.3125,0.1527778,0.1785714,0.1,0.1875
"20",214536,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"21",251841,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"22",53456,0.2962162,0.2746114,0.2686084,0.2891791,0.294964,0.283737,0.2921186,0.2714932,0.2692939
"23",26530,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"24",4271,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"25",131413,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"26",192292,1,0.2,0.2333333,0.1,0.4,0.2,0.2,0.1,0.4
"27",278220,0.2589286,0.2678571,0.2720588,0.325,0.2840909,0.2403846,0.2828947,0.5,0.375
"28",59527,0.25,0.3125,0.375,0.375,0.25,0.3125,0.375,0.375,0.375
"29",73701,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"30",77926,0.3157895,0.3333333,0.3333333,0.3333333,0.3076923,0.3076923,0.4210526,0.3076923,0.3333333
"31",242819,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"32",136234,0.3646409,0.3348837,0.4304124,0.4159021,0.3688761,0.4283626,0.4100817,0.4347826,0.45
"33",97712,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"34",264934,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"35",69648,0.1111111,0.1111111,0.1111111,0.1111111,0.25,0.1111111,0.1111111,0.1,1
"36",102346,1,0.25,1,0.25,1,0.1,0.125,0.1,1
"37",268545,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"38",205172,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"39",242692,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"40",165796,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"41",236866,0.56,0.5,0.5333333,0.5,0.6,0.6666667,0.4571429,0.5333333,0.55
"42",58764,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"43",178733,0.2136752,0.1764706,0.2619048,0.2319588,0.2535211,0.3076923,0.2553191,0.25,0.2457627
"44",95609,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"45",27950,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"46",2871,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"47",124763,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"48",179616,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"49",127780,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"50",80365,0.3333333,0.1,0.2162162,1,0.1111111,0.1,0.1,0.1,0.1
"51",105195,0.1428571,0.1428571,0.1428571,0.1428571,0.1428571,0.1428571,0.1428571,0.1428571,0.1428571
"52",146430,0.4,0.1,0.1,0.1,0.4,0.4,0.4,0.1,0.1
"53",183823,1,0.5833333,0.5833333,0.1,0.3157895,0.6,0.2857143,0.1,0.1
"54",21015,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"55",173978,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"56",16989,1,1,0.1,1,0.1,1,0.2,0.1,1
"57",187701,0.3333333,0.5333333,0.469697,0.375,0.3333333,0.3333333,0.3888889,0.3333333,0.5
